Category ID	Category Name	Description	Parent ID	Parent Name	Default Location ID	Keywords	Category Path	Parts	structural
28	Anti-Static, ESD, Clean Room Products				1		Anti-Static, ESD, Clean Room Products	0	0
605	Anti-Static, ESD Bags, Materials		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Anti-Static, ESD Bags, Materials	0	0
603	Anti-Static, ESD, Clean Room Accessories		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Anti-Static, ESD, Clean Room Accessories	0	0
610	Anti-Static, ESD Clothing		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Anti-Static, ESD Clothing	0	0
607	Anti-Static, ESD Device Containers		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Anti-Static, ESD Device Containers	0	0
606	Anti-Static, ESD Grounding Mats		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Anti-Static, ESD Grounding Mats	0	0
604	Anti-Static, ESD Straps, Grounding Cords		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Anti-Static, ESD Straps, Grounding Cords	0	0
611	Clean Room Swabs and Brushes		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Clean Room Swabs and Brushes	0	0
608	Clean Room Treatments, Cleaners, Wipes		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Clean Room Treatments, Cleaners, Wipes	0	0
609	Ionizer Equipment		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Ionizer Equipment	0	0
1016	Modular ESD Desks, Workstations		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Modular ESD Desks, Workstations	0	0
612	Monitors, Testers		28	Anti-Static, ESD, Clean Room Products	1		Anti-Static, ESD, Clean Room Products/Monitors, Testers	0	0
10	Audio Products				1		Audio Products	0	0
159	Accessories		10	Audio Products	1		Audio Products/Accessories	0	0
157	Alarms, Buzzers, and Sirens		10	Audio Products	1		Audio Products/Alarms, Buzzers, and Sirens	0	0
998	Amplifiers		10	Audio Products	1		Audio Products/Amplifiers	0	0
160	Buzzer Elements, Piezo Benders		10	Audio Products	1		Audio Products/Buzzer Elements, Piezo Benders	0	0
1001	Guitar Parts, Accessories		10	Audio Products	1		Audio Products/Guitar Parts, Accessories	0	0
158	Microphones		10	Audio Products	1		Audio Products/Microphones	0	0
156	Speakers		10	Audio Products	1		Audio Products/Speakers	0	0
6	Battery Products				1		Battery Products	0	0
90	Batteries Non-Rechargeable (Primary)		6	Battery Products	1		Battery Products/Batteries Non-Rechargeable (Primary)	0	0
91	Batteries Rechargeable (Secondary)		6	Battery Products	1		Battery Products/Batteries Rechargeable (Secondary)	0	0
85	Battery Chargers		6	Battery Products	1		Battery Products/Battery Chargers	0	0
86	Battery Holders, Clips, Contacts		6	Battery Products	1		Battery Products/Battery Holders, Clips, Contacts	0	0
89	Battery Packs		6	Battery Products	1		Battery Products/Battery Packs	0	0
87	Battery Product Accessories		6	Battery Products	1		Battery Products/Battery Product Accessories	0	0
88	Cigarette Lighter Assemblies		6	Battery Products	1		Battery Products/Cigarette Lighter Assemblies	0	0
27	Boxes, Enclosures, Racks				1		Boxes, Enclosures, Racks	0	0
589	Backplanes		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Backplanes	0	0
595	Box Accessories		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Box Accessories	0	0
596	Box Components		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Box Components	0	0
594	Boxes		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Boxes	0	0
960	Cams		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Cams	0	0
600	Card Guide Accessories		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Card Guide Accessories	0	0
591	Card Guides		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Card Guides	0	0
601	Card Rack Accessories		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Card Rack Accessories	0	0
588	Card Racks		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Card Racks	0	0
975	Evaluation, Development Board Enclosures		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Evaluation, Development Board Enclosures	0	0
590	Handles		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Handles	0	0
973	Latches, Locks		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Latches, Locks	0	0
593	Patchbay, Jack Panel Accessories		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Patchbay, Jack Panel Accessories	0	0
592	Patchbay, Jack Panels		27	Boxes, Enclosures, Racks	1		Boxes, Enclosures, Racks/Patchbay, Jack Panels	0	0
